,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,,date - Year-Month,llc_status,Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2021-Apr,,,,2021-Apr Total,,2021-Mar,,,,2021-Mar Total,,2021-Feb,,,,2021-Feb Total,,2021-Jan,,,,2021-Jan Total,,2020-Dec,,,,2020-Dec Total,,2020-Nov,,,,2020-Nov Total,,2020-Oct,,,,2020-Oct Total,,2020-Sep,,,,2020-Sep Total,,2020-Aug,,,,2020-Aug Total,,2020-Jul,,,,2020-Jul Total,,2020-Jun,,,,2020-Jun Total,,2020-May,,2020-May Total,,2020-Apr,,,,2020-Apr Total,,2020-Mar,,,,2020-Mar Total,,Grand Total,
2,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,,
3,BankName,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id
4,Aadhar Housing Finance,,,,,,,1.3910000000000002,16,0.30400000000000005,5,1.695,21,2.4410000000000003,24,,,2.4410000000000003,24,3.57,35,,,3.57,35,2.2349999999999994,26,,,2.2349999999999994,26,0.899,9,,,0.899,9,1.553,21,,,1.553,21,2.1439999999999997,25,0.121,3,2.265,28,0.9709999999999999,14,0.017,1,0.988,15,1.0830000000000002,14,,,1.0830000000000002,14,0.22400000000000003,5,,,0.22400000000000003,5,0.41000000000000003,7,0.41000000000000003,7,,,,,,,,,,,,,17.362999999999992,179
5,AAVAS Financiers Limited (Home Loan Team),,,0.025,1,0.025,1,,,,,,,0.3,1,,,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153,1,,,0.153,1,0.402,2,,,0.402,2,1.441,4,,,1.441,4,,,,,,,,,,,,,,,,,2.321,7
6,AdaniCapitalHomeLoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1,,,0.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1
7,Aditya Birla Capital,,,,,,,8.538,13,0.052,1,8.59,14,1.165,8,,,1.165,8,0.561,12,,,0.561,12,0.5870000000000001,14,,,0.5870000000000001,14,0.45500000000000007,11,,,0.45500000000000007,11,0.594,8,,,0.594,8,1.4460000000000002,11,,,1.4460000000000002,11,0.373,5,,,0.373,5,0.756,4,,,0.756,4,0.7579999999999999,6,,,0.7579999999999999,6,,,,,,,,,,,,,,,,,15.284999999999997,91
8,Aditya Birla Capital Home Finance,,,,,,,0.222,1,,,0.222,1,0.362,2,,,0.362,2,0.8999999999999999,4,,,0.8999999999999999,4,0.14,1,,,0.14,1,0.41900000000000004,2,,,0.41900000000000004,2,0.333,2,,,0.333,2,1.542,4,,,1.542,4,0.8640000000000001,5,,,0.8640000000000001,5,1.484,5,,,1.484,5,2.611,5,,,2.611,5,,,,,,,,,,,,,,,,,8.876999999999999,26
9,Ambit Finance Pvt Ltd (Unsecured Business Loans),,,,,,,0.08,1,,,0.08,1,,,,,,,,,,,,,0.375,1,,,0.375,1,,,,,,,,,,,,,0.14100000000000001,2,,,0.14100000000000001,2,0.153,1,,,0.153,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.749,5
10,Ambit Finvest Pvt Ltd Unsecured,,,,,,,,,,,,,0.318,2,,,0.318,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,2
11,ANAND RATHI(Secured and Unsecured),,,,,,,0.26,1,,,0.26,1,0.42,1,,,0.42,1,0.42,1,,,0.42,1,,,,,,,,,,,,,1.33,1,,,1.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4299999999999997,4
12,AXIS BANK - Working Capital (CC/ OD / BG),,,,,,,,,1.68,4,1.68,4,,,,,,,,,,,,,0.75,2,4,1,4.75,3,0.694,1,,,0.694,1,1.35,2,,,1.35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.474,9
13,AXIS FINANCE LTD (PersonalLoan),,,,,,,,,,,,,,,,,,,0.1,1,,,0.1,1,,,,,,,0.045,1,,,0.045,1,,,,,,,0.089,2,,,0.089,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,4
