,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,,date - Year-Month,llc_status,Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2021-Apr,,,,2021-Apr Total,,2021-Mar,,,,2021-Mar Total,,2021-Feb,,,,2021-Feb Total,,2021-Jan,,,,2021-Jan Total,,2020-Dec,,,,2020-Dec Total,,2020-Nov,,,,2020-Nov Total,,2020-Oct,,,,2020-Oct Total,,2020-Sep,,,,2020-Sep Total,,2020-Aug,,,,2020-Aug Total,,2020-Jul,,,,2020-Jul Total,,2020-Jun,,,,2020-Jun Total,,2020-May,,2020-May Total,,2020-Apr,,,,2020-Apr Total,,2020-Mar,,,,2020-Mar Total,,Grand Total,
2,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,,
3,product,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id
4,Auto Loan (Business),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,1,,,0.039,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,1
5,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1,13.5,1,,,,,,,,,,,,,,,,,,,0.5,1,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2
6,Construction Funding,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,,,0.15000000000000002,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3
7,Home Loan (Businesses),0.02,1,0.8160000000000001,4,0.8360000000000001,5,49.418000000000006,131,9.878000000000002,22,59.29600000000001,153,42.51,152,2.0050000000000003,9,44.51499999999999,159,50.89599999999998,157,0.09099999999999998,4,50.98699999999998,160,39.66800000000001,128,0.8099999999999999,4,40.47800000000001,131,42.448000000000015,117,0.774,5,43.222,121,37.641000000000005,122,,,37.641000000000005,122,31.812000000000005,100,0.163,6,31.975000000000005,106,32.48599999999998,88,0.792,4,33.277999999999984,92,17.632999999999996,65,0.226,1,17.858999999999998,66,15.011000000000003,42,,,15.011000000000003,42,1.064,11,1.064,11,2.3520000000000003,5,,,2.3520000000000003,5,4.942999999999999,26,,,4.942999999999999,26,383.4570000000002,1096
8,Housing Loan Salaried,0.13,1,0.25,2,0.38,3,10.801,47,0.309,2,11.11,48,10.003,42,,,10.003,42,7.364000000000001,37,0.052000000000000005,3,7.416000000000001,40,8.556,34,,,8.556,34,11.861000000000004,46,0.041,1,11.902000000000003,47,11.469999999999999,37,0.55,1,12.019999999999998,37,6.375,29,0.12,1,6.494999999999999,30,6.9719999999999995,21,0.587,2,7.559,23,10.109999999999998,21,,,10.109999999999998,21,6.226,23,0.074,1,6.3,24,0,1,0,1,0.015,1,,,0.015,1,1.616,13,,,1.616,13,93.48200000000001,314
9,LAP,0.14,1,,,0.14,1,6.245,6,1.7800000000000002,2,8.025,8,5.191,12,,,5.191,12,5.896,7,,,5.896,7,5.225,6,,,5.225,6,13.502,11,,,13.502,11,6.5969999999999995,9,,,6.5969999999999995,9,0.528,3,0.34500000000000003,2,0.873,5,5.778,8,0.3,1,6.077999999999999,9,7.7989999999999995,9,,,7.7989999999999995,9,7.65,11,,,7.65,11,0.033,1,0.033,1,0,1,,,0,1,1.8610000000000002,4,,,1.8610000000000002,4,68.87000000000005,77
10,LAP BT,,,,,,,,,,,,,0.152,1,,,0.152,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,1
11,LAP Commercial ( New),,,0.327,2,0.327,2,0.105,1,,,0.105,1,1.455,3,,,1.455,3,,,,,,,1.155,3,,,1.155,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0420000000000007,8
12,LAP Commercial (Top-up),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424,1,,,0.424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424,1
