,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,,date - Year-Month,llc_status,Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2021-Apr,,,,2021-Apr Total,,2021-Mar,,,,2021-Mar Total,,2021-Feb,,,,2021-Feb Total,,2021-Jan,,,,2021-Jan Total,,2020-Dec,,,,2020-Dec Total,,2020-Nov,,,,2020-Nov Total,,2020-Oct,,,,2020-Oct Total,,2020-Sep,,,,2020-Sep Total,,2020-Aug,,,,2020-Aug Total,,2020-Jul,,,,2020-Jul Total,,2020-Jun,,,,2020-Jun Total,,2020-May,,2020-May Total,,2020-Apr,,,,2020-Apr Total,,2020-Mar,,,,2020-Mar Total,,Grand Total,
2,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,,
3,sales_state,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans,Volume,# of Loans
4,CHANDIGARH,0.012,1,,,0.012,1,8.331999999999999,32,4.546,13,12.877999999999998,45,19.86,48,0.29000000000000004,2,20.150000000000002,50,17.19,33,0.522,1,17.712,34,11.218000000000002,36,4,1,15.218000000000002,37,9.192999999999998,39,,,9.192999999999998,39,10.595999999999998,43,,,10.595999999999998,43,4.373,22,,,4.373,22,8.044999999999998,21,0.3,1,8.344999999999999,22,3.204,20,,,3.204,20,7.377,19,,,7.377,19,0.389,5,0.389,5,0,1,,,0,1,1.444,11,,,1.444,11,110.89100000000005,268
5,DELHI,,,,,,,0.55,4,6.908,9,7.458,13,13.811,9,0.24,2,14.051,11,10.103,24,0.006,1,10.109,25,10.327,25,0.71,2,11.037,27,15.894,27,1.01,3,16.904,30,15.728999999999997,30,0.55,1,16.278999999999996,30,14.767000000000001,29,,,14.767000000000001,29,10.773,27,1.0799999999999998,3,11.853,30,8.691,21,,,8.691,21,8.045,20,0.065,1,8.11,21,0.2,1,0.2,1,,,,,,,0.18,2,,,0.18,2,119.63900000000004,215
6,GUJARAT,0.209,2,2.955,13,3.164,15,21.427999999999997,95,,,21.427999999999997,95,21.110999999999994,98,0.05,1,21.160999999999994,99,21.393999999999995,102,0.021,3,21.414999999999996,104,17.121000000000002,120,0.04,1,17.161,121,16.438000000000002,94,0.069,2,16.507000000000005,95,18.944000000000013,92,,,18.944000000000013,92,13.929999999999993,91,0.14,5,14.069999999999991,96,11.927,63,0.1,1,12.026999999999997,64,8.507000000000001,44,,,8.507000000000001,44,3.4529999999999994,21,,,3.4529999999999994,21,0.23800000000000002,2,0.23800000000000002,2,,,,,,,2.1039999999999996,19,,,2.1039999999999996,19,160.1790000000001,809
7,KARNATAKA,,,,,,,2.624,4,,,2.624,4,1.197,2,6.5,1,7.697,3,3.29,4,0.5660000000000001,4,3.8560000000000003,7,2.622,2,13.5,1,16.122,3,10.076,3,,,10.076,3,2.658,3,,,2.658,3,14.398,5,,,14.398,5,0.4,1,0.71,2,1.1099999999999999,3,6.02,3,,,6.02,3,0.594,2,,,0.594,2,,,,,0.5,1,,,0.5,1,,,,,,,65.65499999999999,32
8,MADHYA PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1,,,0.9,1,,,,,,,,,,,,,0.033,1,,,0.033,1,,,,,,,,,,,,,,,,,,,,,,,0.016,1,,,0.016,1,0.9490000000000001,3
9,MAHARASHTRA,0.98,4,3.14,8,4.119999999999999,12,53.09899999999999,120,5.016,13,58.11499999999999,131,41.12199999999999,129,1.6090000000000002,5,42.73099999999998,133,42.40699999999998,135,0.062000000000000006,4,42.46899999999998,138,36.64199999999998,105,0.06,1,36.701999999999984,105,37.85900000000002,86,0.105,4,37.96400000000002,90,28.66200000000001,74,,,28.66200000000001,74,22.063999999999993,71,0.023,1,22.086999999999993,72,18.255000000000003,36,0.017,1,18.272000000000002,37,15.482000000000001,34,0.226,1,15.708000000000002,35,14.705,33,,,14.705,33,0.011,1,0.011,1,2.009,6,0.013,1,2.022,7,6.271,26,,,6.271,26,329.83899999999994,855
10,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,2,,,0.147,2,0.073,1,,,0.073,1,0.642,4,0.65,2,1.292,6,0.319,2,,,0.319,2,1.033,5,,,1.033,5,0.195,3,0.195,3,,,,,,,0.874,2,,,0.874,2,3.933,20
11,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,1,0.042,1,,,0.2,1,0.2,1,0.51,2,,,0.51,2,,,,,,,,,,,0.051,1,,,0.051,1,0.8029999999999999,5
12,WEST BENGAL,,,,,,,12.011999999999997,67,3.398,15,15.409999999999997,82,10.724,67,0.373,4,11.097000000000001,69,9.875999999999998,59,0.046,1,9.921999999999999,60,13.739999999999997,66,,,13.739999999999997,66,10.428999999999998,51,0.18,1,10.608999999999998,52,4.001999999999998,45,0.133,1,4.134999999999998,46,8.356,58,0.523,5,8.879,63,7.641000000000001,33,,,7.641000000000001,33,3.425999999999999,32,,,3.425999999999999,32,1.9000000000000001,15,0.074,1,1.9740000000000002,16,0.5760000000000001,5,0.5760000000000001,5,,,,,,,,,0.012,1,0.012,1,87.4210000000001,495
13,Grand Total,1.201,7,6.095000000000001,21,7.296,28,98.04499999999997,322,19.868000000000002,50,117.91299999999998,370,107.82500000000007,353,9.062000000000001,15,116.8870000000001,365,104.26000000000003,357,1.223,14,105.48300000000003,368,91.6700000000001,354,18.31,6,109.98000000000008,359,100.78900000000006,301,1.3639999999999999,10,102.15300000000005,310,80.738,289,0.683,2,81.42100000000002,290,77.96099999999996,277,0.686,11,78.64699999999995,288,57.71599999999998,186,2.899,11,60.614999999999974,197,45.64900000000004,156,0.42600000000000005,2,46.075000000000045,158,37.617000000000004,117,0.139,2,37.75599999999999,119,1.609,17,1.609,17,2.509,8,0.013,1,2.522,9,10.939999999999996,62,0.012,1,10.951999999999996,63,879.3089999999968,2702
